我曾经在旅居地投资买房,我的年出游花费消费数额较大,我的子女都支持我选择旅居养老,我曾经有过旅居养老的经历,通过宣传，我对旅居养老有了充分的了解,旅居养老地所在的交通要方便,旅居养老机构的服务质量要完善,旅居养老服务机构所提供的旅游产品应有较高的性价比,旅居养老地的安全系数要高,旅居养老的自然风光要优美
1,2,4,2,4,4,3,4,4,5
1,2,4,2,3,4,4,4,4,4
1,2,5,2,2,2,2,3,3,3
1,4,4,5,4,5,5,5,5,5
1,2,3,1,3,4,4,4,4,4
1,2,3,1,2,4,4,3,2,4
1,3,4,5,4,4,4,5,5,5
3,3,3,3,3,4,4,4,5,5
1,2,5,4,4,4,4,4,5,5
1,2,3,2,4,4,4,5,5,5
1,2,4,1,3,3,4,4,4,5
1,2,3,1,3,4,1,5,5,5
5,3,3,1,4,5,5,5,5,5
1,2,3,1,2,5,2,5,5,5
1,2,3,1,3,4,4,5,5,5
1,2,3,1,3,4,5,5,5,5
1,2,3,1,4,4,5,4,4,4
1,3,4,2,3,4,4,5,5,5
1,3,5,5,4,5,5,5,5,5
1,2,3,1,4,4,4,2,2,4
1,2,3,1,3,4,4,5,5,3
1,3,4,5,4,5,5,5,5,5
1,3,4,3,4,4,5,5,5,5
1,2,3,2,4,4,4,4,5,4
1,2,3,1,4,4,4,5,5,5
2,2,3,1,4,3,5,5,5,5
4,3,4,3,4,4,4,4,4,5
4,3,4,3,4,4,4,4,4,5
4,3,4,3,4,4,4,4,4,5
4,3,4,3,4,4,4,4,4,5
4,3,4,3,4,4,4,4,4,5
4,3,4,3,4,4,4,4,4,5
4,3,4,3,4,4,4,4,4,5
4,3,4,3,4,4,4,4,4,5
4,3,4,3,4,4,4,4,4,5
4,3,4,3,4,4,4,4,5,5
4,3,4,3,4,4,4,4,5,5
2,3,4,3,4,4,4,5,4,4
3,4,3,1,2,3,4,4,4,2
2,3,5,4,4,4,4,4,5,4
2,3,5,4,4,4,4,4,5,4
4,4,5,4,4,4,5,5,4,5
4,4,5,4,4,4,5,5,4,5
4,4,5,4,4,4,5,5,4,5
4,4,5,4,4,4,5,5,4,5
4,4,5,4,4,4,5,5,4,5
4,4,5,4,4,4,5,5,4,5
4,4,5,4,4,4,5,5,4,5
2,3,5,4,4,4,4,4,5,4
5,4,4,5,5,4,5,4,5,5
2,3,5,4,4,4,4,4,5,4
2,3,4,4,4,5,4,4,5,4
2,3,5,4,4,4,4,4,5,4
2,3,5,4,4,4,4,4,5,4
1,4,4,4,4,4,4,4,4,4
3,4,4,3,5,4,4,4,3,4
4,5,5,4,4,5,4,5,3,4
3,4,4,5,4,4,4,5,4,4
3,4,5,4,4,4,4,4,5,4
3,4,4,5,5,4,4,5,4,4
5,4,4,5,4,3,4,5,4,5
3,5,4,2,5,5,2,4,3,4
3,5,4,5,5,4,4,5,5,3
3,4,5,5,4,3,5,5,4,3
3,5,5,4,4,5,3,4,5,4
2,5,3,4,5,4,5,4,2,3
3,4,5,5,5,5,5,3,4,5
5,4,3,4,5,4,4,5,5,4
2,4,3,4,5,3,5,4,3,5
3,4,5,5,5,5,5,4,5,5
1,1,1,4,2,5,4,3,4,5
3,4,4,5,4,4,4,5,5,4
1,3,4,2,4,4,5,5,5,5
1,3,3,2,3,5,5,5,5,5
2,4,4,2,4,4,5,4,5,5
2,2,4,2,4,4,4,4,4,4
1,3,4,1,4,4,4,5,4,5
1,2,3,1,3,4,4,5,4,4
1,2,4,1,2,3,4,5,5,5
5,4,4,5,5,5,5,5,5,5
1,4,5,5,5,5,5,5,5,5
2,4,4,4,4,4,5,4,4,5
2,3,4,4,4,3,5,5,5,5
1,3,4,5,4,4,4,5,5,5
1,2,4,3,3,4,5,5,5,5
1,3,3,4,4,3,4,5,5,3
1,1,3,3,2,4,4,4,4,4
1,1,4,4,3,5,5,5,5,5
1,1,4,4,4,5,4,5,4,5
1,3,4,1,4,5,5,5,5,5
1,3,4,4,4,3,4,5,5,5
1,1,2,1,3,5,5,5,5,5
1,2,4,1,3,1,3,4,4,5
1,4,4,3,4,2,5,5,5,5
5,5,5,4,5,4,3,3,4,3
5,5,5,4,5,4,3,3,4,3
5,5,5,4,5,4,3,3,4,3
5,5,5,4,5,4,3,3,4,3
5,5,5,4,5,4,3,3,4,3
5,5,5,4,5,4,3,3,4,3
5,5,4,4,5,5,4,4,5,5
4,4,4,3,4,3,3,4,3,4
4,4,4,4,4,4,4,4,4,4
2,3,2,1,4,5,4,4,4,4
4,4,5,4,4,4,5,4,5,4
2,3,4,2,4,4,5,5,5,4
2,3,5,5,5,5,4,5,4,5
4,5,4,4,5,5,5,4,4,5
5,5,4,4,4,4,5,4,5,4
3,3,4,4,4,4,5,4,4,4
5,5,5,5,5,5,5,4,5,5
4,5,4,5,5,4,4,4,5,4
3,3,3,3,3,3,4,4,4,4
4,4,3,4,4,4,3,4,4,4
1,3,4,4,4,4,3,4,4,4
5,5,5,5,5,5,5,5,5,5
1,2,4,3,3,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5
3,4,4,4,4,5,4,5,5,5
3,3,3,3,3,2,2,2,2,2
2,3,5,2,5,4,4,4,5,4
2,4,5,4,4,4,4,4,5,4
2,4,5,4,4,4,4,4,5,5
1,2,3,2,4,3,3,4,3,4
1,2,2,3,3,3,3,3,3,3
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
3,4,3,4,3,4,3,4,3,4
4,5,3,4,4,4,5,4,4,5
4,5,4,5,5,4,5,5,4,4
5,5,5,5,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3
4,4,3,2,3,3,4,3,4,4
2,1,4,2,5,5,4,4,5,5
1,2,4,2,3,4,5,4,4,5
5,5,5,5,5,3,4,5,4,5
5,4,5,5,4,5,5,4,5,5
4,5,4,4,4,5,4,5,5,5
2,2,2,3,3,4,4,4,3,4
3,2,4,3,3,2,3,3,3,3
2,1,4,2,5,5,4,4,5,5
3,2,4,3,4,2,4,2,3,4
1,3,2,1,4,5,5,5,5,5
5,3,4,4,5,3,4,5,4,4
3,2,4,4,4,4,4,4,4,4
4,5,4,4,4,4,4,4,4,5
3,3,3,3,3,3,3,3,3,3
4,5,4,4,4,5,4,4,5,4
1,1,3,3,2,3,3,4,3,4
4,3,4,4,4,4,4,5,4,4
5,5,5,5,5,5,5,5,5,5
1,3,4,3,3,5,5,5,5,5
5,4,5,5,5,4,5,4,5,4
5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4
3,4,4,4,3,3,4,4,3,4
1,4,2,4,4,4,5,4,5,5
4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5
4,5,4,5,4,5,5,4,4,5
4,5,5,5,5,5,5,5,5,5
4,4,4,4,5,5,5,4,4,4
3,4,4,5,4,5,4,4,5,4
2,3,4,4,4,4,4,4,4,5
3,3,3,3,3,3,3,3,3,3
4,4,5,4,4,4,5,5,4,5
5,5,5,4,5,4,3,3,4,3
2,2,4,4,3,4,3,4,4,4
1,3,4,2,4,4,4,4,4,4
1,4,1,1,1,4,4,4,3,3
3,3,4,5,4,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
1,1,2,1,1,1,2,2,3,2
3,4,3,3,5,5,5,5,5,5
3,3,4,3,3,3,4,3,4,4
3,3,4,4,4,4,4,4,4,4
4,4,5,3,3,3,4,3,4,3
5,5,5,5,5,5,5,5,5,5
3,3,3,3,3,3,3,3,3,3
5,5,5,4,5,4,3,3,4,3
5,5,5,4,5,4,3,3,4,3
4,3,4,3,4,4,4,4,5,5
4,3,4,3,4,4,4,4,5,5
4,3,4,3,4,4,4,4,5,5
4,3,4,3,4,4,4,4,5,5
4,3,4,3,4,4,4,4,5,5
4,3,4,3,4,4,4,4,5,5
4,3,4,4,4,4,4,4,5,4
2,3,4,4,4,4,4,5,4,4
2,3,4,4,4,4,4,4,5,4
2,4,2,3,3,4,5,4,5,5
4,4,5,4,4,4,5,5,4,5
4,5,4,3,4,3,5,5,4,4
4,3,5,2,5,3,2,4,5,5
2,4,3,5,4,4,3,2,4,3
4,3,4,5,4,4,4,5,4,5
1,4,3,1,3,1,5,4,2,4
4,4,3,3,4,5,4,5,4,4
4,4,4,3,4,4,4,4,3,4
5,5,4,5,4,4,5,4,4,5
2,4,1,5,1,4,5,4,2,4
5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,4,4,5,5
4,4,5,5,5,5,5,5,5,5
3,3,3,3,3,4,4,3,3,3
1,1,1,1,1,1,1,1,1,1
4,5,4,4,5,4,4,5,4,5
2,3,4,3,4,4,4,4,4,4
3,1,4,3,1,5,5,2,4,4
2,3,3,2,3,5,5,5,5,5
3,5,5,5,3,2,4,4,3,5
2,2,3,2,3,4,4,5,5,4
3,3,4,4,4,5,4,4,5,5
3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4
2,1,3,4,2,4,4,5,4,4
4,4,4,4,4,4,4,4,4,4
4,3,4,4,5,4,3,4,4,5
3,3,3,3,3,3,3,3,3,3
2,2,4,3,5,4,3,4,5,3
4,3,4,3,3,4,3,4,4,3
1,1,1,2,3,3,3,3,5,3
5,4,4,5,4,5,4,5,5,4
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
3,3,2,2,4,4,4,4,4,4
1,3,3,4,5,3,5,3,4,4
5,5,5,5,5,5,5,5,5,5
3,4,4,4,4,4,4,5,4,4
3,3,3,3,3,3,3,3,3,3
4,4,3,3,4,4,3,4,3,4
2,5,4,5,5,5,5,5,5,5
5,4,5,4,4,4,5,4,5,5
4,4,4,5,5,5,5,4,4,4
5,5,5,4,5,5,5,5,5,5
5,5,5,4,4,4,4,4,4,4
4,5,5,4,5,4,4,5,4,5
4,4,4,4,4,4,4,4,4,4
3,4,4,5,4,5,4,4,5,4
4,5,4,5,4,5,5,4,5,4
5,5,5,5,4,4,4,4,4,4
4,2,4,5,4,5,4,4,5,5
4,4,5,4,5,4,5,4,5,4
4,5,4,5,5,5,4,5,4,4
5,5,5,5,5,5,5,5,5,5
5,4,2,4,5,5,4,2,4,4
4,5,5,4,4,5,5,5,4,5
4,4,5,4,4,4,4,4,5,4
4,5,4,4,4,4,4,4,4,4
4,4,5,5,4,4,4,4,5,5
4,3,4,3,2,2,4,4,3,2
4,4,4,3,4,4,4,4,3,4
3,4,3,3,3,3,4,3,4,3
3,5,4,3,4,4,4,3,4,5
5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1
4,4,4,3,4,4,3,4,3,3
4,4,4,3,3,3,4,4,3,4
2,4,4,4,5,5,5,5,4,5
4,4,3,4,5,4,4,4,3,4
2,3,4,3,5,4,4,5,5,5
2,3,5,3,3,3,3,2,3,2
1,1,2,2,2,2,2,2,1,2
3,3,3,3,3,3,3,3,3,3
2,3,4,3,4,4,5,4,4,5
3,4,2,4,3,4,5,5,2,4
1,2,2,3,3,3,4,4,4,4
5,4,5,4,4,4,4,4,5,4
4,3,3,3,4,3,4,3,3,3
5,5,4,5,5,3,3,3,4,3
4,4,3,3,4,3,3,2,3,3
5,4,4,5,4,4,4,4,5,5
5,4,4,5,5,5,4,5,4,5
